time,value
2018-01,-0.6
2018-02,-4.1
2018-03,-2.5
2018-04,6.2
2018-05,14.8
2018-06,16.1
2018-07,21.5
2018-08,18.5
2018-09,13.9
2018-10,8.4
2018-11,4.0
2018-12,0.2
2019-01,-2.5
2019-02,1.0
2019-03,1.8
2019-04,6.5
2019-05,9.6
2019-06,17.3
2019-07,16.7
2019-08,17.3
2019-09,12.8
2019-10,6.9
2019-11,3.6
2019-12,2.4
2020-01,3.3
2020-02,2.0
2020-03,2.7
2020-04,6.2
2020-05,8.8
2020-06,17.4
2020-07,16.0
2020-08,18.6
2020-09,13.8
2020-10,9.0
2020-11,6.4
2020-12,3.4
1980-01,-4.7
1980-02,-6.2
1980-03,-3.1
1980-04,4.8
1980-05,7.8
1980-06,15.6
1980-07,16.8
1980-08,14.6
1980-09,12.8
1980-10,5.7
1980-11,-0.0
1980-12,-0.8
1981-01,-4.0
1981-02,-2.7
1981-03,-2.2
1981-04,3.9
1981-05,10.8
1981-06,12.6
1981-07,16.4
1981-08,14.6
1981-09,11.7
1981-10,6.5
1981-11,1.1
1981-12,-5.7
1982-01,-7.2
1982-02,-4.0
1982-03,1.1
1982-04,4.1
1982-05,9.4
1982-06,12.5
1982-07,17.4
1982-08,17.0
1982-09,12.3
1982-10,7.6
1982-11,4.5
1982-12,0.3
1983-01,0.7
1983-02,-3.8
1983-03,-0.1
1983-04,4.0
1983-05,10.2
1983-06,14.0
1983-07,18.0
1983-08,17.8
1983-09,12.4
1983-10,7.5
1983-11,1.2
1983-12,-1.1
1984-01,-3.0
1984-02,-1.7
1984-03,-2.0
1984-04,5.3
1984-05,10.9
1984-06,13.3
1984-07,15.3
1984-08,16.4
1984-09,10.6
1984-10,8.9
1984-11,4.3
1984-12,0.8
1985-01,-9.0
1985-02,-11.6
1985-03,-1.7
1985-04,1.6
1985-05,9.0
1985-06,13.6
1985-07,15.9
1985-08,15.4
1985-09,10.3
1985-10,8.0
1985-11,0.3
1985-12,-4.3
1986-01,-5.0
1986-02,-8.4
1986-03,0.2
1986-04,2.1
1986-05,11.5
1986-06,15.1
1986-07,16.3
1986-08,13.1
1986-09,9.0
1986-10,7.2
1986-11,4.8
1986-12,-1.5
1987-01,-12.0
1987-02,-4.4
1987-03,-4.2
1987-04,4.1
1987-05,7.5
1987-06,11.3
1987-07,15.5
1987-08,12.5
1987-09,10.6
1987-10,8.6
1987-11,2.5
1987-12,-1.5
1988-01,-0.1
1988-02,-0.9
1988-03,-2.1
1988-04,3.1
1988-05,11.2
1988-06,14.9
1988-07,17.2
1988-08,14.9
1988-09,13.2
1988-10,6.4
1988-11,-0.8
1988-12,-2.4
1989-01,2.4
1989-02,2.4
1989-03,2.6
1989-04,4.6
1989-05,11.5
1989-06,15.0
1989-07,17.4
1989-08,15.2
1989-09,13.0
1989-10,7.7
1989-11,2.3
1989-12,-2.2
1990-01,0.5
1990-02,3.4
1990-03,3.9
1990-04,6.5
1990-05,10.8
1990-06,14.4
1990-07,15.1
1990-08,16.7
1990-09,10.2
1990-10,7.4
1990-11,1.5
1990-12,0.8
1991-01,-0.7
1991-02,-3.1
1991-03,1.4
1991-04,4.8
1991-05,7.2
1991-06,11.1
1991-07,17.9
1991-08,17.1
1991-09,11.7
1991-10,7.4
1991-11,3.5
1991-12,0.6
1992-01,0.6
1992-02,-0.1
1992-03,2.0
1992-04,2.6
1992-05,12.6
1992-06,17.0
1992-07,16.9
1992-08,15.8
1992-09,11.8
1992-10,4.0
1992-11,2.1
1992-12,1.0
1993-01,-0.3
1993-02,-0.9
1993-03,1.0
1993-04,5.2
1993-05,12.6
1993-06,12.2
1993-07,15.7
1993-08,13.6
1993-09,9.2
1993-10,6.2
1993-11,0.9
1993-12,-0.4
1994-01,-2.1
1994-02,-6.9
1994-03,-0.1
1994-04,5.9
1994-05,8.6
1994-06,13.2
1994-07,20.6
1994-08,16.6
1994-09,11.8
1994-10,6.2
1994-11,3.0
1994-12,1.8
1995-01,-2.5
1995-02,0.1
1995-03,1.3
1995-04,3.3
1995-05,8.1
1995-06,15.0
1995-07,17.0
1995-08,17.7
1995-09,12.1
1995-10,9.4
1995-11,-0.1
1995-12,-4.9
1996-01,-4.0
1996-02,-6.9
1996-03,-1.5
1996-04,5.6
1996-05,7.6
1996-06,14.1
1996-07,15.1
1996-08,19.1
1996-09,10.5
1996-10,8.3
1996-11,3.2
1996-12,-3.2
1997-01,-2.3
1997-02,-0.5
1997-03,1.6
1997-04,3.1
1997-05,8.2
1997-06,15.1
1997-07,18.6
1997-08,20.6
1997-09,12.8
1997-10,4.8
1997-11,2.1
1997-12,-0.5
1998-01,-0.3
1998-02,0.8
1998-03,-0.5
1998-04,3.1
1998-05,9.8
1998-06,12.4
1998-07,15.5
1998-08,14.1
1998-09,12.7
1998-10,6.6
1998-11,-0.3
1998-12,-0.4
1999-01,-2.3
1999-02,-2.4
1999-03,0.7
1999-04,6.6
1999-05,8.9
1999-06,16.0
1999-07,19.2
1999-08,16.4
1999-09,15.7
1999-10,7.8
1999-11,4.3
1999-12,-1.6
2000-01,-1.0
2000-02,-0.4
2000-03,1.2
2000-04,6.0
2000-05,11.1
2000-06,13.6
2000-07,15.3
2000-08,15.7
2000-09,11.7
2000-10,10.3
2000-11,6.6
2000-12,2.3
2001-01,-0.7
2001-02,-4.2
2001-03,-1.3
2001-04,5.0
2001-05,9.9
2001-06,14.3
2001-07,19.0
2001-08,16.6
2001-09,12.3
2001-10,9.7
2001-11,2.6
2001-12,-2.0
2002-01,-1.1
2002-02,0.9
2002-03,1.6
2002-04,6.5
2002-05,11.4
2002-06,16.4
2002-07,18.2
2002-08,20.6
2002-09,13.2
2002-10,3.7
2002-11,0.5
2002-12,-4.0
2003-01,-3.9
2003-02,-4.0
2003-03,2.3
2003-04,3.7
2003-05,10.3
2003-06,15.0
2003-07,19.7
2003-08,16.9
2003-09,13.3
2003-10,4.9
2003-11,4.1
2003-12,0.9
2004-01,-3.5
2004-02,-1.6
2004-03,0.9
2004-04,6.0
2004-05,9.6
2004-06,13.4
2004-07,16.1
2004-08,17.8
2004-09,13.2
2004-10,7.5
2004-11,1.4
2004-12,1.0
2005-01,0.6
2005-02,-2.5
2005-03,-2.3
2005-04,6.0
2005-05,9.7
2005-06,14.0
2005-07,18.5
2005-08,16.3
2005-09,13.5
2005-10,8.7
2005-11,4.0
2005-12,-0.5
2006-01,-3.1
2006-02,-3.5
2006-03,-3.8
2006-04,4.5
2006-05,10.1
2006-06,15.9
2006-07,19.8
2006-08,18.4
2006-09,15.2
2006-10,9.6
2006-11,4.4
2006-12,4.3
2007-01,-0.3
2007-02,-3.6
2007-03,3.8
2007-04,7.3
2007-05,10.2
2007-06,15.5
2007-07,16.1
2007-08,17.1
2007-09,11.8
2007-10,7.4
2007-11,2.0
2007-12,1.2
2008-01,1.4
2008-02,2.1
2008-03,0.8
2008-04,6.5
2008-05,10.7
2008-06,15.4
2008-07,17.8
2008-08,15.3
2008-09,11.1
2008-10,8.1
2008-11,2.9
2008-12,0.9
2009-01,-1.9
2009-02,-2.6
2009-03,0.1
2009-04,7.6
2009-05,10.7
2009-06,12.8
2009-07,16.8
2009-08,16.8
2009-09,13.8
2009-10,5.4
2009-11,5.1
2009-12,-2.0
2010-01,-7.8
2010-02,-6.1
2010-03,-1.1
2010-04,5.5
2010-05,10.1
2010-06,14.5
2010-07,20.3
2010-08,16.4
2010-09,11.7
2010-10,6.1
2010-11,-0.1
2010-12,-7.2
2011-01,-2.6
2011-02,-5.1
2011-03,0.3
2011-04,8.3
2011-05,10.6
2011-06,16.3
2011-07,18.5
2011-08,16.7
2011-09,13.7
2011-10,8.2
2011-11,5.6
2011-12,1.9
2012-01,-1.7
2012-02,-3.7
2012-03,3.5
2012-04,4.0
2012-05,10.9
2012-06,12.6
2012-07,16.8
2012-08,16.0
2012-09,11.9
2012-10,6.5
2012-11,4.1
2012-12,-3.6
2013-01,-4.0
2013-02,-2.1
2013-03,-3.2
2013-04,4.0
2013-05,11.9
2013-06,15.3
2013-07,17.4
2013-08,17.1
2013-09,12.7
2013-10,8.5
2013-11,3.9
2013-12,2.8
2014-01,-2.2
2014-02,1.5
2014-03,3.6
2014-04,6.6
2014-05,9.9
2014-06,13.1
2014-07,19.7
2014-08,16.8
2014-09,13.3
2014-10,9.2
2014-11,5.1
2014-12,-0.1
2015-01,0.1
2015-02,0.4
2015-03,3.0
2015-04,6.5
2015-05,8.9
2015-06,13.4
2015-07,16.0
2015-08,17.5
2015-09,13.2
2015-10,7.9
2015-11,4.6
2015-12,3.5
